case_id,case_group,topology,size_description,seed,method,method_key,status,status_source,driver_status,driver_error,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,num_blocks,refined_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,leaf_states_built,internal_states_built,num_implicit_merge_sketches,num_explicit_merge_compressions,skipped_small_rank_merges,skipped_small_state_merges,skipped_low_saving_merges,rank_policy,leaf_tol,merge_tol,target_rank,run_dir
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,32.296099199998935,0.00012490000153775327,32.29622410000047,1.0417752922392833,0.9999961326747624,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__exact__s2\2026-04-10_22-48-47
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,ok,runner,ok,,0.9801624658690081,2.095924322453513e-06,0.960718465903176,-0.1740386167391808,0.06577399999878253,0.00015970000276865903,0.06593370000155119,499.9613004992089,0.9975778698334465,9,0,1.0,4,4,12,54,13,0,0.0,0.0,True,141,62,79,0.4397163120567376,79,13,66,45,9,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__fixed_rank__s0\2026-04-10_22-49-54
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,ok,runner,ok,,0.9796896242282239,1.4369557528868047e-06,0.9597917691488239,-0.17822978750934815,0.06354020000071614,0.00021219999689492397,0.06375239999761106,509.3029486059673,0.9966714978902825,9,0,1.0,4,4,12,54,13,0,0.0,0.0,True,141,62,79,0.4397163120567376,79,13,66,45,9,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__fixed_rank__s1\2026-04-10_22-50-28
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,fixed-rank baseline,fixed_rank,ok,runner,ok,,0.9768860698784515,1.8211641386008455e-06,0.9543064008199473,-0.20312163219542217,0.06735630000366655,0.00010350000047765207,0.0674598000041442,484.95424382377263,0.9984657529155176,9,0,1.0,4,4,12,54,13,0,0.0,0.0,True,141,62,79,0.4397163120567376,79,13,66,45,9,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__fixed_rank__s2\2026-04-10_22-51-02
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,ok,runner,ok,,0.004461158998039453,9.539491641350845e-09,1.9901939738467393e-05,-47.011045931049495,0.4707789000003686,0.00018839999938791152,0.4709672999997565,69.70216297383712,0.9995999722265483,9,0,1.0,16,64,30,36,13,0,0.0,0.00047029083613557234,True,141,62,79,0.4397163120567376,79,13,66,13,23,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s0\2026-04-10_22-51-36
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,ok,runner,ok,,0.0036330415769231495,5.328748886719373e-09,1.3198991227935569e-05,-48.79459259770086,0.4472024999977293,0.00010399999700894114,0.44730649999473826,73.8226245321957,0.9997674972350952,9,0,1.0,16,64,30,36,13,0,0.0,0.0003575459070732554,True,141,62,79,0.4397163120567376,79,13,66,14,22,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s1\2026-04-10_22-52-10
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L2,astnc_l2,ok,runner,ok,,0.004138565325776211,7.715338552732508e-09,1.712772308668925e-05,-47.66300367134391,0.40936689999762166,0.00014969999938330147,0.40951659999700496,77.48979284393299,0.9996344470520022,9,0,1.0,16,64,30,36,13,0,0.0,0.0003810082344989052,True,141,62,79,0.4397163120567376,79,13,66,14,22,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s2\2026-04-10_22-52-45
main_random_8,main_core,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",0,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,0.6925601999992068,3.3599999369471334e-05,0.6925937999985763,1.0050375848081319,0.9999514867150565,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__exact__s0\2026-04-10_22-53-18
main_random_8,main_core,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",1,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,0.2754540999994788,4.0200002331403084e-05,0.2754943000018102,1.0187775209973686,0.9998540804534578,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__exact__s1\2026-04-10_22-53-21
main_random_8,main_core,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",2,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,1.2296146000007866,4.090000038559083e-05,1.2296555000011722,0.9783479193982955,0.9999667386504711,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__exact__s2\2026-04-10_22-53-22
