case_id,case_group,topology,size_description,seed,method,method_key,status,status_source,driver_status,driver_error,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,num_blocks,refined_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,leaf_states_built,internal_states_built,num_implicit_merge_sketches,num_explicit_merge_compressions,skipped_small_rank_merges,skipped_small_state_merges,skipped_low_saving_merges,rank_policy,leaf_tol,merge_tol,target_rank,run_dir,t_contract_ratio_recomputed,t_emit_ratio,contract_time_exact_mean_by_case,emit_time_exact_mean_by_case,total_time_exact_mean_by_case,contract_speedup_vs_exact,emit_speedup_vs_exact,total_speedup_vs_exact,delta_total,delta_contract,delta_emit,gain_share_contract,gain_share_emit,log10_contract_time,log10_emit_time
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,32.296099199998935,0.00012490000153775327,32.29622410000047,1.0417752922392833,0.9999961326747624,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__exact__s2\2026-04-10_22-48-47,0.9999961326747935,3.86732520653247e-06,37.19936439999947,0.00015476666764395,37.19951916666711,1.0,1.0,1.0,0.0,0.0,0.0,,,1.5091500703738328,-3.903437556278885
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,ok,runner,ok,,0.9801624658690081,2.095924322453513e-06,0.960718465903176,-0.1740386167391808,0.06577399999878253,0.00015970000276865903,0.06593370000155119,499.9613004992089,0.9975778698334465,9,0,1.0,4,4,12,54,13,0,0.0,0.0,True,141,62,79,0.4397163120567376,79,13,66,45,9,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__fixed_rank__s0\2026-04-10_22-49-54,0.9975778698485767,0.002422130151423352,37.19936439999947,0.00015476666764395,37.19951916666711,565.5633593925871,0.9691087348830203,564.1958386347487,37.13358546666556,37.133590400000685,-4.933335124709032e-06,1.0000001328537242,-1.32853724269035e-07,-1.1819457460292158,-3.7966950763323166
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,ok,runner,ok,,0.9796896242282239,1.4369557528868047e-06,0.9597917691488239,-0.17822978750934815,0.06354020000071614,0.00021219999689492397,0.06375239999761106,509.3029486059673,0.9966714978902825,9,0,1.0,4,4,12,54,13,0,0.0,0.0,True,141,62,79,0.4397163120567376,79,13,66,45,9,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__fixed_rank__s1\2026-04-10_22-50-28,0.9966714979059161,0.0033285020940839174,37.19936439999947,0.00015476666764395,37.19951916666711,585.4461333074212,0.7293434020198715,583.499902247775,37.1357667666695,37.13582419999875,-5.743332925097397e-05,1.000001546577175,-1.5465771748254882e-06,-1.1969514225105915,-3.673254626789614
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,fixed-rank baseline,fixed_rank,ok,runner,ok,,0.9768860698784515,1.8211641386008455e-06,0.9543064008199473,-0.20312163219542217,0.06735630000366655,0.00010350000047765207,0.0674598000041442,484.95424382377263,0.9984657529155176,9,0,1.0,4,4,12,54,13,0,0.0,0.0,True,141,62,79,0.4397163120567376,79,13,66,45,9,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__fixed_rank__s2\2026-04-10_22-51-02,0.9984657529303186,0.0015342470696814079,37.19936439999947,0.00015476666764395,37.19951916666711,552.2774320735331,1.495330115262826,551.4323962475706,37.132059366662965,37.1320080999958,5.1266667166297936e-05,0.9999986193422062,1.3806577938503722e-06,-1.1716217773891138,-3.9850596482027965
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,ok,runner,ok,,0.004461158998039453,9.539491641350845e-09,1.9901939738467393e-05,-47.011045931049495,0.4707789000003686,0.00018839999938791152,0.4709672999997565,69.70216297383712,0.9995999722265483,9,0,1.0,16,64,30,36,13,0,0.0,0.00047029083613557234,True,141,62,79,0.4397163120567376,79,13,66,13,23,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s0\2026-04-10_22-51-36,0.9995999722286706,0.000400027771329366,37.19936439999947,0.00015476666764395,37.19951916666711,79.0166347726509,0.8214791302907002,78.98535453881053,36.72855186666735,36.7285854999991,-3.363333174396152e-05,1.0000009157271397,-9.15727139639424e-07,-0.32718301018450474,-3.724919102954111
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,ok,runner,ok,,0.0036330415769231495,5.328748886719373e-09,1.3198991227935569e-05,-48.79459259770086,0.4472024999977293,0.00010399999700894114,0.44730649999473826,73.8226245321957,0.9997674972350952,9,0,1.0,16,64,30,36,13,0,0.0,0.0003575459070732554,True,141,62,79,0.4397163120567376,79,13,66,14,22,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s1\2026-04-10_22-52-10,0.9997674972373302,0.00023250276266981255,37.19936439999947,0.00015476666764395,37.19951916666711,83.18237129754048,1.4881410778371882,83.16337716332022,36.75221266667237,36.75216190000174,5.0766670635008865e-05,0.9999986186771639,1.3813228361362057e-06,-0.34949577727685716,-3.982966673191608
main_grid2d_3x3,main_core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L2,astnc_l2,ok,runner,ok,,0.004138565325776211,7.715338552732508e-09,1.712772308668925e-05,-47.66300367134391,0.40936689999762166,0.00014969999938330147,0.40951659999700496,77.48979284393299,0.9996344470520022,9,0,1.0,16,64,30,36,13,0,0.0,0.0003810082344989052,True,141,62,79,0.4397163120567376,79,13,66,14,22,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__astnc_l2__s2\2026-04-10_22-52-45,0.9996344470544433,0.00036555294555677676,37.19936439999947,0.00015476666764395,37.19951916666711,90.87047438426406,1.0338454795024783,90.83763433994903,36.790002566670104,36.789997500001846,5.066668260648527e-06,0.9999998622813834,1.3771861666676464e-07,-0.38788727581501486,-3.824778201446051
main_random_8,main_core,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",0,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,0.6925601999992068,3.3599999369471334e-05,0.6925937999985763,1.0050375848081319,0.9999514867150565,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__exact__s0\2026-04-10_22-53-18,0.9999514867165002,4.851328349970849e-05,0.7325429666664908,3.823333402882175e-05,0.7325812000005195,1.0,1.0,1.0,0.0,0.0,0.0,,,-0.15954247007413958,-4.4736607307600105
main_random_8,main_core,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",1,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,0.2754540999994788,4.0200002331403084e-05,0.2754943000018102,1.0187775209973686,0.9998540804534578,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__exact__s1\2026-04-10_22-53-21,0.999854080457087,0.00014591954291300743,0.7325429666664908,3.823333402882175e-05,0.7325812000005195,1.0,1.0,1.0,0.0,0.0,0.0,,,-0.5599507589817194,-4.395773921728578
main_random_8,main_core,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",2,exact,exact,ok,runner,ok,,0.0,0.0,0.0,-inf,1.2296146000007866,4.090000038559083e-05,1.2296555000011722,0.9783479193982955,0.9999667386504711,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_random_8__exact__s2\2026-04-10_22-53-22,0.9999667386512844,3.3261348715597047e-05,0.7325429666664908,3.823333402882175e-05,0.7325812000005195,1.0,1.0,1.0,0.0,0.0,0.0,,,0.08976901117852482,-4.388276687898283
