tier,case_id,topology,size_description,method,n_runs,n_ok,ok_rate,rel_error_mean,rel_error_std,RMSE_mean,RMSE_std,NMSE_mean,NMSE_std,NMSE_dB_mean,NMSE_dB_std,contract_time_sec_mean,contract_time_sec_std,emit_time_sec_mean,emit_time_sec_std,total_time_sec_mean,total_time_sec_std,speedup_vs_exact_mean,speedup_vs_exact_std,t_contract_ratio_mean,t_contract_ratio_std,num_blocks_mean,num_blocks_std,refined_blocks_mean,refined_blocks_std,mean_rank_mean,mean_rank_std,max_rank_mean,max_rank_std,peak_rank_mean,peak_rank_std,num_exact_merges_mean,num_exact_merges_std,num_compressed_merges_mean,num_compressed_merges_std,num_exact_leaves_mean,num_exact_leaves_std,num_compressed_leaves_mean,num_compressed_leaves_std,mean_leaf_residual_ratio_mean,mean_leaf_residual_ratio_std,mean_merge_residual_ratio_mean,mean_merge_residual_ratio_std,cache_requests_mean,cache_requests_std,cache_hits_mean,cache_hits_std,cache_misses_mean,cache_misses_std,cache_hit_rate_mean,cache_hit_rate_std,num_cached_states_mean,num_cached_states_std
main,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L3,2,2,1.0,0.018059317306193826,0.000910894820514269,3.233644137612346e-08,6.934285942766398e-09,0.0003265538089637438,3.290027816687714e-05,-34.87150134502346,0.4382939437236365,0.39638415000013083,0.08070966297970601,0.00013440000032005628,5.68513854497284e-05,0.3965185500004509,0.08076651436515574,80.12014500416613,12.37920756856003,0.9996687809887757,7.591064887518286e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,64.0,0.0,30.0,0.0,36.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.002725899275647651,0.00037136000650198514,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0
main,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",exact,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33.08458310000003,0.14313722155259387,0.00011504999997669074,2.8354981749485753e-05,33.08469815000001,0.14310886657084437,0.9543336812448121,0.008158521235080266,0.9999965206754339,8.720921017111632e-07,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,main_grid2d_3x3,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",fixed-rank baseline,2,2,1.0,0.979926045048616,0.00033434953062588504,1.766440037670159e-06,4.659611441294186e-07,0.9602551175259999,0.0006552735591059238,-0.17613420212426448,0.0029636052726961714,0.06256759999996575,0.00035129064877828503,0.00017459999980928842,1.8384774817435929e-06,0.06274219999977504,0.0003531291262600286,504.0476829426427,8.080801092835948,0.9972172223402543,1.3639904851572463e-05,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,12.0,0.0,54.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,62.0,0.0,79.0,0.0,0.4397163120567376,0.0,79.0,0.0
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L1,2,2,1.0,5.8532621541332876e-15,3.277740874630529e-15,9.084328201860468e-20,6.058243019997354e-20,3.963247052736751e-29,3.8370953280236865e-29,-285.392692158352,5.145149002828525,0.03528215000028467,0.0037938400137390665,3.199999980552093e-05,1.8384776425210606e-06,0.035314150000090194,0.003795678491381587,14.832819263857491,7.560464148794062,0.9990913970683984,4.559891607518196e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,54.0,38.18376618407357,24.0,16.97056274847714,24.0,4.242640687119285,12.0,0.0,0.0,0.0,0.0,0.0,1.8508891189360904e-09,1.0265636163488975e-10,105.0,42.42640687119285,45.0,21.213203435596427,60.0,21.213203435596427,0.4222222222222222,0.03142696805273541,60.0,21.213203435596427
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L2,2,2,1.0,4.240299836890253e-15,9.966676899886941e-16,6.445435408881987e-20,2.326285042518569e-20,1.8476815978683628e-29,8.452339696608062e-30,-287.57372379913994,2.060704476461402,0.03477410000027703,0.003144221013179881,3.1950000220604124e-05,1.3435021814804368e-06,0.034806050000497635,0.0031455645153613612,15.178272808946641,8.551233084019618,0.9990800434464285,4.454054709003495e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,54.0,38.18376618407357,24.0,16.97056274847714,24.0,4.242640687119285,12.0,0.0,0.0,0.0,0.0,0.0,1.7397536524264734e-09,5.4512922363671915e-11,105.0,42.42640687119285,45.0,21.213203435596427,60.0,21.213203435596427,0.4222222222222222,0.03142696805273541,60.0,21.213203435596427
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",ASTNC-L3,2,2,1.0,0.018973764115516416,0.02079847377443605,3.0448398313316145e-07,3.486703154376322e-07,0.0005762919812567677,0.000789250671904965,-38.424964826643524,12.689083476181656,0.0346092500000168,0.003071601147023798,3.350000008595089e-05,1.979898789390607e-06,0.03464275000010275,0.0030735810458131885,15.318922019432877,8.108694066504244,0.9990317109836183,2.87568388248555e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,53.0,36.76955262170047,21.0,19.79898987322333,27.0,1.4142135623730951,12.0,0.0,0.0,0.0,0.0,0.0,0.0021247930495435154,0.0026924087612644446,105.0,42.42640687119285,45.0,21.213203435596427,60.0,21.213203435596427,0.4222222222222222,0.03142696805273541,60.0,21.213203435596427
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",exact,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5596092500002214,0.34382494478709863,4.409999996823899e-05,8.202439380631136e-06,0.5596533500001897,0.34381674234771803,0.9950006274854486,0.02894294438026049,0.9998973236001055,7.773437737531506e-05,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,main_random_8,random_connected,"num_nodes=8, phys_dim=3, bond_dim=4, edge_prob=0.35, open_legs_per_node=1",fixed-rank baseline,2,2,1.0,0.898413444449647,0.052475890815980905,1.3500136356678381e-05,2.5533117763635873e-06,0.8085235780612992,0.09429009161714984,-0.9378898209094666,0.5076273479687403,0.017389099999945756,0.0042702178514959985,3.129999993234378e-05,1.5556347056720958e-06,0.0174203999998781,0.0042686622167903265,34.31325715824164,27.196771298075674,0.9981363652477053,0.0005459611695605111,9.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,9.0,0.0,21.0,8.48528137423857,27.0,12.727922061357855,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,42.42640687119285,45.0,21.213203435596427,60.0,21.213203435596427,0.4222222222222222,0.03142696805273541,60.0,21.213203435596427
main,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L1,2,2,1.0,4.308868979556829e-15,4.978802516683302e-17,1.6313518821764775e-19,7.393615915492411e-20,1.8567591320315163e-29,4.290601609744299e-31,-287.3130241534897,0.10036576272576085,0.04453355000009651,0.0015691406583254659,2.9450000511133112e-05,3.535535102837381e-07,0.044563000000607644,0.0015694942118357495,37.02591424337252,1.5469524868459543,0.9993388674859173,1.535107923174168e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.1372274940491354e-09,7.075553641946159e-10,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0
main,main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",ASTNC-L2,2,2,1.0,4.308868979556829e-15,4.978802516683302e-17,1.6313518821764775e-19,7.393615915492411e-20,1.8567591320315163e-29,4.290601609744299e-31,-287.3130241534897,0.10036576272576085,0.0472924000000603,0.0015185825233973028,3.190000029462681e-05,1.9798992717230107e-06,0.047324300000354924,0.001520562422669026,35.77548531584883,0.7218378844691272,0.9993262520082244,2.0188854204963223e-05,9.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,0.0,27.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.1372274940491354e-09,7.075553641946159e-10,135.0,0.0,60.0,0.0,75.0,0.0,0.4444444444444444,0.0,75.0,0.0
