case_id,topology,size_description,scale_level,seed,method,method_key,status,status_source,driver_status,driver_error,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,t_contract_ratio,speedup_vs_exact,num_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,mean_merge_residual_ratio,num_implicit_merge_sketches,cache_hit_rate,run_dir,relative_runtime_rank_within_case,relative_error_rank_within_case
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,0,ASTNC-L3,astnc_l3,ok,reused:strength_sensitivity_raw_runs.csv,reused,,0.01265240987912524,6.377504561323895e-07,0.00016008347582780364,-37.95653494608932,0.04458319999980631,2.9699999913646025e-05,0.04461289999971996,0.9993342732502669,70.25504954894701,9,1.0,16,16,27,36,0.0012648250665846673,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_ring_8__astnc_l3__s0\2026-04-10_20-47-24,3,3
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,1,ASTNC-L3,astnc_l3,ok,reused:strength_sensitivity_raw_runs.csv,reused,,0.013302342205506107,3.3945632595832525e-07,0.0001769523083236054,-37.521437676652596,0.048454500000161715,0.00016990000017358398,0.0486244000003353,0.9965058694571262,60.08756303375513,9,1.0,16,16,26,37,0.0016147693873446915,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\main_ring_8__astnc_l3__s1\2026-04-10_20-47-26,3,3
main_ring_8,ring,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,ASTNC-L3,astnc_l3,ok,reused:strength_sensitivity_raw_runs.csv,reused,,0.020647529700280706,1.1753881391678674e-06,0.0004263204829088872,-33.70263800825537,0.05514150000090012,3.520000245771371e-05,0.05517670000335784,0.999362049498159,53.748109252859585,9,1.0,16,16,25,38,0.003066605336607722,0,0.4444444444444444,C:\Users\mrkys\workspace\sketch_tnc\outputs\strength_sensitivity\main_ring_8__astnc_l3__s2\2026-04-11_00-16-15,4,3
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,0,exact,exact,ok,reused:main_results_raw_runs.csv,reused,,0.0,0.0,0.0,-inf,1.0176342999984627,4.380000063974876e-05,1.0176780999991024,0.9999569608487794,0.9824416974252393,9,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__exact__s0\2026-04-10_22-45-46,5,
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,1,exact,exact,ok,reused:main_results_raw_runs.csv,reused,,0.0,0.0,0.0,-inf,0.9848673000014969,5.160000182513613e-05,0.984918900003322,0.9999476098967895,1.004365841694675,9,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__exact__s1\2026-04-10_22-45-49,5,
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,exact,exact,ok,reused:main_results_raw_runs.csv,reused,,0.0,0.0,0.0,-inf,1.3178003000011813,5.739999869547319e-05,1.3178576999998768,0.9999564444630892,0.946523133718736,9,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__exact__s2\2026-04-10_22-45-52,5,
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,0,fixed-rank baseline,fixed_rank,ok,reused:main_results_raw_runs.csv,reused,,0.6724252332041912,7.10083089362657e-05,0.45215569435543357,-3.447119953733333,0.021699099997931626,3.8399997720262036e-05,0.021737499995651888,0.9982334675686636,46.81670386211233,9,1.0,4,4,12,45,0.0,18,0.43902439024390244,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__fixed_rank__s0\2026-04-10_22-45-56,1,
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,1,fixed-rank baseline,fixed_rank,ok,reused:main_results_raw_runs.csv,reused,,0.637790459836012,2.8835665686755797e-05,0.406776670879983,-3.9064396233390015,0.021924700002273312,3.870000000461005e-05,0.021963400002277922,0.9982379776811043,44.84364442213736,9,1.0,4,9,21,36,0.0,9,0.43902439024390244,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__fixed_rank__s1\2026-04-10_22-45-58,1,
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,fixed-rank baseline,fixed_rank,ok,reused:main_results_raw_runs.csv,reused,,0.6470679179039315,6.192934145329563e-05,0.4186968904885475,-3.781002644459557,0.013818600002196035,3.360000118846074e-05,0.013852200003384496,0.9975743923580496,95.13706845684337,9,1.0,4,9,15,30,0.0,3,0.42424242424242425,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_tree_8__fixed_rank__s2\2026-04-10_22-46-00,1,
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,0,ASTNC-L1,astnc_l1,ok,runner,reused,,3.268335770021782e-15,3.4513725036651113e-19,1.0682018708101538e-29,-289.7134666575855,0.06535540000186302,2.9600014386232942e-05,0.06538500001624925,0.9995472965454091,15.564397029076893,9,1.0,16,16,21,36,1.024129043468337e-09,0,0.43902439024390244,C:\Users\mrkys\workspace\sketch_tnc\outputs\generalization\main_tree_8__astnc_l1__s0\2026-04-11_09-09-51,3,1
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,1,ASTNC-L1,astnc_l1,ok,runner,reused,,4.130731782078273e-15,1.8675789026429173e-19,1.706294506479007e-29,-287.6794600745918,0.12426820000837324,4.179999086773023e-05,0.12430999999924097,0.999663743931561,7.923086638318203,9,1.0,16,12,21,36,1.0312729886241825e-09,0,0.43902439024390244,C:\Users\mrkys\workspace\sketch_tnc\outputs\generalization\main_tree_8__astnc_l1__s1\2026-04-11_09-10-01,4,1
main_tree_8,tree,"num_nodes=8, phys_dim=3, bond_dim=4, open_legs_per_node=1",easy,2,ASTNC-L1,astnc_l1,ok,runner,reused,,3.017880172823222e-15,2.888341803335211e-19,9.107600739869166e-30,-290.4059601629496,0.11135769999964396,3.9399994420818985e-05,0.11139709999406477,0.999646310402851,11.830269370298618,9,1.0,16,16,15,30,1.5399960104402787e-09,0,0.42424242424242425,C:\Users\mrkys\workspace\sketch_tnc\outputs\generalization\main_tree_8__astnc_l1__s2\2026-04-11_09-10-11,4,1
