case_id,tier,topology,size_description,seed,method,method_key,planned_method_group,status,status_source,driver_status,driver_error,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,speedup_vs_exact,t_contract_ratio,num_blocks,refined_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,leaf_states_built,internal_states_built,num_implicit_merge_sketches,num_explicit_merge_compressions,skipped_small_rank_merges,skipped_small_state_merges,skipped_low_saving_merges,rank_policy,leaf_tol,merge_tol,target_rank,run_dir
toy_grid2d_2x3,toy,grid2d,"grid_shape=[2,3], phys_dim=2, bond_dim=3, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,8.659034778813616e-16,1.7542737394364665e-18,7.497888330995607e-31,-301.2506103198509,0.00391869999998562,6.600000006073969e-06,0.003925299999991694,1.69166687843974,0.9983185995963603,4,0,1.0,4,8,14,4,8,0,0.0,0.0,True,40,14,26,0.35,26,8,18,0,4,0,4,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_grid2d_2x3__fixed_rank__s0\2026-04-10_20-46-37
toy_grid2d_2x3,toy,grid2d,"grid_shape=[2,3], phys_dim=2, bond_dim=3, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,6.109277620839701e-16,3.728466068252232e-19,3.7323273063781817e-31,-304.2802027780846,0.004177299999810202,6.499999926745659e-06,0.004183799999736948,1.4570486159051803,0.9984463882294562,4,0,1.0,4,8,14,4,8,0,0.0,0.0,True,40,14,26,0.35,26,8,18,0,4,0,4,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_grid2d_2x3__fixed_rank__s1\2026-04-10_20-46-38
toy_grid2d_2x3,toy,grid2d,"grid_shape=[2,3], phys_dim=2, bond_dim=3, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,4.215722514586995e-15,8.540826418882108e-18,1.7772316322188778e-29,-287.5025596553253,0.005610300000171264,6.79999970998324e-06,0.005617099999881248,1.2059603707309505,0.9987894107797766,4,0,1.0,16,8,14,4,8,0,0.0,6.998701101202183e-10,True,40,14,26,0.35,26,8,18,0,4,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_grid2d_2x3__astnc_l2__s0\2026-04-10_20-46-39
toy_grid2d_2x3,toy,grid2d,"grid_shape=[2,3], phys_dim=2, bond_dim=3, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,1.381445436160543e-15,8.430902560880096e-19,1.9083914938705416e-30,-297.19332527856835,0.005533300000251984,6.699999858028605e-06,0.0055400000001100125,1.1011913355341654,0.998790613563775,4,0,1.0,16,8,14,4,8,0,0.0,1.4195763291164418e-09,True,40,14,26,0.35,26,8,18,0,4,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_grid2d_2x3__astnc_l2__s1\2026-04-10_20-46-40
toy_random_6,toy,random_connected,"num_nodes=6, phys_dim=2, bond_dim=3, edge_prob=0.35, open_legs_per_node=1",0,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.007115099999964514,7.899999900473631e-06,0.007122999999864987,1.2503158779928398,0.9988909166222779,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_random_6__exact__s0\2026-04-10_20-46-41
toy_random_6,toy,random_connected,"num_nodes=6, phys_dim=2, bond_dim=3, edge_prob=0.35, open_legs_per_node=1",1,exact,exact,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,0.0,0.0,0.0,-inf,0.007713200000125653,7.300000106624793e-06,0.007720500000232278,1.310886600460492,0.9990544652411812,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_random_6__exact__s1\2026-04-10_20-46-42
toy_random_6,toy,random_connected,"num_nodes=6, phys_dim=2, bond_dim=3, edge_prob=0.35, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,8.753745580888315e-16,1.7002844744233369e-19,7.66280617935497e-31,-301.1561215921444,0.005387300000393225,8.100000286503928e-06,0.005395400000679729,1.3400859986730884,0.9984987208948396,4,0,1.0,4,8,16,4,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,4,0,4,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_random_6__fixed_rank__s0\2026-04-10_20-46-42
toy_random_6,toy,random_connected,"num_nodes=6, phys_dim=2, bond_dim=3, edge_prob=0.35, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,5.817126637443089e-16,1.3366472447536312e-18,3.383896231973164e-31,-304.70582963178055,0.004438299999719675,7.500000037907739e-06,0.0044457999997575826,2.0061406267215913,0.9983130142973975,4,0,1.0,4,8,16,4,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,4,0,4,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_random_6__fixed_rank__s1\2026-04-10_20-46-43
toy_random_6,toy,random_connected,"num_nodes=6, phys_dim=2, bond_dim=3, edge_prob=0.35, open_legs_per_node=1",0,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,1.752713155350295e-15,3.4043838019076035e-19,3.0720034088919626e-30,-295.1257830671925,0.006830600000284903,6.799999937356915e-06,0.00683740000022226,1.010164682249715,0.9990054697785501,4,0,1.0,16,8,16,4,8,0,0.0,1.8744381562202475e-09,True,44,16,28,0.36363636363636365,28,8,20,0,4,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_random_6__astnc_l2__s0\2026-04-10_20-46-44
toy_random_6,toy,random_connected,"num_nodes=6, phys_dim=2, bond_dim=3, edge_prob=0.35, open_legs_per_node=1",1,ASTNC-L2,astnc_l2,"[""exact"", ""fixed_rank"", ""astnc_l2""]",ok,runner,reused,,9.517855511965023e-16,2.1869930188803927e-18,9.058957355649917e-31,-300.429217847454,0.006285700000034922,6.8999997893115506e-06,0.006292599999824233,1.3159266438638009,0.998903473796458,4,0,1.0,16,4,12,8,8,0,0.0,0.0,True,44,16,28,0.36363636363636365,28,8,20,0,8,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\toy_random_6__astnc_l2__s1\2026-04-10_20-46-45
