case_id,case_scope,topology,size_description,seed,method,method_key,status,driver_status,driver_error,reused_from_group,reused_from_run_name,rel_error,RMSE,NMSE,NMSE_dB,contract_time_sec,emit_time_sec,total_time_sec,t_contract_ratio,num_blocks,mean_rank,max_rank,peak_rank,num_exact_merges,num_compressed_merges,num_exact_leaves,num_compressed_leaves,mean_leaf_residual_ratio,mean_merge_residual_ratio,cache_enabled,cache_requests,cache_hits,cache_misses,cache_hit_rate,num_cached_states,num_implicit_merge_sketches,num_explicit_merge_compressions,skipped_small_rank_merges,skipped_small_state_merges,skipped_low_saving_merges,rank_policy,leaf_tol,merge_tol,target_rank,run_dir
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L2-no-blockwise,ablate_no_blockwise,ok,reused,,ablation_core,main_grid2d_3x3__ablate_no_blockwise__s2,0.010143615409442799,1.8910279498339736e-08,0.00010289293436148608,-39.876144471343046,1.0971197999988362,7.019999975454994e-05,1.0971899999985908,0.9999360183735226,1,1.0,16,223,3,5,9,0,0.0,0.0013671071413076956,True,17,0,17,0.0,17,4,1,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\ablation_core\main_grid2d_3x3__ablate_no_blockwise__s2\2026-04-10_23-44-58
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L2-no-implicit,ablate_no_implicit,ok,reused,,pilot_protocol,ablate_grid2d_3x3__ablate_no_implicit__s0,0.00446115899803946,9.539491641350858e-09,1.990193973846745e-05,-47.01104593104947,2.77147819999891,0.00014390000023922767,2.771622099999149,0.9999480809446427,9,1.0,16,64,30,36,13,0,0.0,0.0004702902284434588,True,141,62,79,0.4397163120567376,79,0,36,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\ablate_grid2d_3x3__ablate_no_implicit__s0\2026-04-10_21-13-22
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2-no-implicit,ablate_no_implicit,ok,reused,,ablation_core,main_grid2d_3x3__ablate_no_implicit__s1,0.003633041576923148,5.328748886719371e-09,1.3198991227935557e-05,-48.79459259770087,3.1855795999981638,0.00017070000103558414,3.1857502999991993,0.9999464176454647,9,1.0,16,64,30,36,13,0,0.0,0.00035754597643480055,True,141,62,79,0.4397163120567376,79,0,36,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\ablation_core\main_grid2d_3x3__ablate_no_implicit__s1\2026-04-10_23-45-14
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L2-no-implicit,ablate_no_implicit,ok,reused,,ablation_core,main_grid2d_3x3__ablate_no_implicit__s2,0.004138565325776269,7.715338552732617e-09,1.7127723086689738e-05,-47.66300367134378,3.2939267000019754,0.0001393999955325853,3.294066099997508,0.9999576814817005,9,1.0,16,64,30,36,13,0,0.0,0.0003810077576655749,True,141,62,79,0.4397163120567376,79,0,36,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\ablation_core\main_grid2d_3x3__ablate_no_implicit__s2\2026-04-10_23-45-59
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,ASTNC-L2-no-cache,ablate_no_cache,ok,reused,,pilot_protocol,ablate_grid2d_3x3__ablate_no_cache__s0,0.004461158998039453,9.539491641350845e-09,1.9901939738467393e-05,-47.011045931049495,0.21301020000009885,9.820000059335143e-05,0.2131084000006922,0.9995392016382622,9,1.0,16,64,36,36,81,0,0.0,0.0004310999331242746,False,0,0,0,0.0,0,13,23,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\pilot_protocol\ablate_grid2d_3x3__ablate_no_cache__s0\2026-04-10_21-12-49
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,ASTNC-L2-no-cache,ablate_no_cache,ok,reused,,ablation_core,main_grid2d_3x3__ablate_no_cache__s1,0.0036330415769231495,5.328748886719373e-09,1.3198991227935569e-05,-48.79459259770086,0.5375072000006185,0.00018139999519917183,0.5376885999958176,0.9996626300126128,9,1.0,16,64,36,36,81,0,0.0,0.0003277504148171508,False,0,0,0,0.0,0,14,22,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\ablation_core\main_grid2d_3x3__ablate_no_cache__s1\2026-04-10_23-46-43
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,ASTNC-L2-no-cache,ablate_no_cache,ok,reused,,ablation_core,main_grid2d_3x3__ablate_no_cache__s2,0.004138565325776211,7.715338552732508e-09,1.712772308668925e-05,-47.66300367134391,0.39457640000182437,0.00016839999807416461,0.39474479999989853,0.9995733952693645,9,1.0,16,64,36,36,81,0,0.0,0.0003492575482906631,False,0,0,0,0.0,0,14,22,0,0,0,adaptive,0.001,0.005,2,C:\Users\mrkys\workspace\sketch_tnc\outputs\ablation_core\main_grid2d_3x3__ablate_no_cache__s2\2026-04-10_23-47-23
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",0,fixed-rank baseline,fixed_rank,ok,reused,,main_results_e2e,main_grid2d_3x3__fixed_rank__s0,0.9801624658690081,2.095924322453513e-06,0.960718465903176,-0.1740386167391808,0.06577399999878253,0.00015970000276865903,0.06593370000155119,0.9975778698334465,9,1.0,4,4,12,54,13,0,0.0,0.0,True,141,62,79,0.4397163120567376,79,45,9,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__fixed_rank__s0\2026-04-10_22-49-54
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",1,fixed-rank baseline,fixed_rank,ok,reused,,main_results_e2e,main_grid2d_3x3__fixed_rank__s1,0.9796896242282239,1.4369557528868047e-06,0.9597917691488239,-0.17822978750934815,0.06354020000071614,0.00021219999689492397,0.06375239999761106,0.9966714978902825,9,1.0,4,4,12,54,13,0,0.0,0.0,True,141,62,79,0.4397163120567376,79,45,9,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__fixed_rank__s1\2026-04-10_22-50-28
main_grid2d_3x3,core,grid2d,"grid_shape=[3,3], phys_dim=3, bond_dim=4, open_legs_per_node=1",2,fixed-rank baseline,fixed_rank,ok,reused,,main_results_e2e,main_grid2d_3x3__fixed_rank__s2,0.9768860698784515,1.8211641386008455e-06,0.9543064008199473,-0.20312163219542217,0.06735630000366655,0.00010350000047765207,0.0674598000041442,0.9984657529155176,9,1.0,4,4,12,54,13,0,0.0,0.0,True,141,62,79,0.4397163120567376,79,45,9,0,0,0,fixed,0.0,0.0,4,C:\Users\mrkys\workspace\sketch_tnc\outputs\main_results_e2e\main_grid2d_3x3__fixed_rank__s2\2026-04-10_22-51-02
