analysis,case_id,case,family,size_token,seed,method_key,method,status,rel_error,contract_time_sec,emit_time_sec,total_time_sec,exact_total_time_sec,speedup_vs_exact,t_contract_ratio,peak_rank,num_implicit_merge_sketches,cache_hit_rate,num_cached_states,mean_merge_residual_ratio,mean_leaf_residual_ratio,leaf_tol,merge_tol,rank_policy,target_rank,max_rank,cache_enabled,block_enabled,block_labels,chunk_size,run_name,run_dir,error_message
pareto_sweep,ring_8,Ring-8,ring,8,0,pareto_s1,pareto-s1,ok,4.273663529339475e-15,0.10494910000852542,3.849999848171137e-05,0.10498760000700713,1.9030584999927669,18.1265073194132,0.9996332900315963,16.0,0.0,0.4444444444444444,75.0,2.6375446901360654e-09,0.0,0.0002,0.0008,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s1__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s1__s0\2026-04-14_17-46-45,
pareto_sweep,ring_8,Ring-8,ring,8,1,pareto_s1,pareto-s1,ok,4.3440744297741834e-15,0.10434030000760686,3.980000474257395e-05,0.10438010001234943,1.8480336999964493,17.70484699439931,0.999618701210887,16.0,0.0,0.4444444444444444,75.0,1.636910297962205e-09,0.0,0.0002,0.0008,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s1__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s1__s1\2026-04-14_17-46-48,
pareto_sweep,ring_8,Ring-8,ring,8,2,pareto_s1,pareto-s1,ok,4.74811385642094e-15,0.1071784000050684,4.029999763588421e-05,0.10721870000270428,1.7349644000096305,16.181546688681074,0.9996241327433134,16.0,0.0,0.4444444444444444,75.0,1.5646647676976439e-09,0.0,0.0002,0.0008,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s1__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s1__s2\2026-04-14_17-46-51,
pareto_sweep,ring_8,Ring-8,ring,8,0,pareto_s2,pareto-s2,ok,4.273663529339475e-15,0.10292080001090653,3.869999636663124e-05,0.10295950000727316,1.8031235999842465,17.512940523597717,0.9996241240743834,16.0,0.0,0.4444444444444444,75.0,2.6375446901360654e-09,0.0,0.0005,0.002,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s2__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s2__s0\2026-04-14_17-46-53,
pareto_sweep,ring_8,Ring-8,ring,8,1,pareto_s2,pareto-s2,ok,4.3440744297741834e-15,0.1044497000038973,3.870000000461005e-05,0.10448840000390192,1.866002999999182,17.858470413095056,0.9996296239486603,16.0,0.0,0.4444444444444444,75.0,1.636910297962205e-09,0.0,0.0005,0.002,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s2__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s2__s1\2026-04-14_17-46-56,
pareto_sweep,ring_8,Ring-8,ring,8,2,pareto_s2,pareto-s2,ok,4.74811385642094e-15,0.1027306000032695,3.860000288113952e-05,0.10276920000615064,1.8020935999920766,17.535347164974404,0.9996244010474105,16.0,0.0,0.4444444444444444,75.0,1.5646647676976439e-09,0.0,0.0005,0.002,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s2__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s2__s2\2026-04-14_17-46-59,
pareto_sweep,ring_8,Ring-8,ring,8,0,pareto_s3,pareto-s3,ok,4.273663529339475e-15,0.11001979999855394,4.160000025876798e-05,0.1100613999988127,1.8631698999888613,16.928459023708875,0.9996220291468322,16.0,0.0,0.4444444444444444,75.0,2.6375446901360654e-09,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s3__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s3__s0\2026-04-14_17-47-01,
pareto_sweep,ring_8,Ring-8,ring,8,1,pareto_s3,pareto-s3,ok,4.3440744297741834e-15,0.10824960000172723,3.9500002458225936e-05,0.10828910000418546,1.7975392999906035,16.599448143022038,0.9996352356473889,16.0,0.0,0.4444444444444444,75.0,1.636910297962205e-09,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s3__s1,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s3__s1\2026-04-14_17-47-04,
pareto_sweep,ring_8,Ring-8,ring,8,2,pareto_s3,pareto-s3,ok,0.005480598439468959,0.10232940000059898,4.3799998820759356e-05,0.10237319999941974,1.7886164999981702,17.47153063488136,0.9995721536513406,16.0,0.0,0.4444444444444444,75.0,0.00038312962089419626,0.0,0.001,0.005,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s3__s2,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s3__s2\2026-04-14_17-47-07,
pareto_sweep,ring_8,Ring-8,ring,8,0,pareto_s4,pareto-s4,ok,0.0027613159239111324,0.10837470000478788,4.510000144364312e-05,0.10841980000623153,1.8457377000013366,17.02399100420981,0.9995840242977699,16.0,0.0,0.4444444444444444,75.0,0.00014921101615280796,0.0,0.002,0.01,adaptive,2,16.0,True,true,2,1,ring_8__pareto_s4__s0,C:\Users\mrkys\workspace\sketch_tnc\outputs\paper_strengthened\ring_8__pareto_s4__s0\2026-04-14_17-47-09,
